date,module,contributor,complexity,issues,coverage,issue_type
2025-01-01,module1,Alice,13.205143051044487,119,85.5654591953945,Bug
2025-01-01,module1,Bob,9.218869820247367,134,85.93457491980699,Bug
2025-01-01,module1,Charlie,14.378004082013732,99,73.29992203166316,Bug
2025-02-01,module1,Alice,8.678188770885551,130,61.85110043767369,Maintainability
2025-02-01,module1,Bob,11.438272540136994,123,81.54979635935204,Performance
2025-02-01,module1,Charlie,11.07593411678808,91,69.43194728360234,Performance
2025-03-01,module1,Alice,12.566824603092028,95,87.7256757711472,Bug
2025-03-01,module1,Bob,5.016920825868388,142,62.82815266840875,Maintainability
2025-03-01,module1,Charlie,7.368111564017809,88,89.32393001345443,Performance
2025-04-01,module1,Alice,14.764394895427795,90,81.13783790096167,Performance
2025-04-01,module1,Bob,5.458694895272692,144,74.29784103542968,Maintainability
2025-04-01,module1,Charlie,14.896391958169337,94,70.80713503124171,Bug
2025-05-01,module1,Alice,13.256867206312386,115,72.09278359627918,Bug
2025-05-01,module1,Bob,10.276100968435475,103,66.2745669242965,Performance
2025-05-01,module1,Charlie,9.397908770144744,81,82.24456967298254,Bug
2025-06-01,module1,Alice,6.929681961935187,87,76.96960838124252,Maintainability
2025-06-01,module1,Bob,5.201825128910837,102,86.20132471135817,Bug
2025-06-01,module1,Charlie,13.98703886629596,143,76.40120885239273,Performance
2025-07-01,module1,Alice,10.367698002707563,91,80.93332626208245,Maintainability
2025-07-01,module1,Bob,10.843754503530498,142,62.8080013900491,Maintainability
2025-07-01,module1,Charlie,6.527216053996575,63,80.99579632122396,Bug
2025-08-01,module1,Alice,10.639212685210437,71,86.04338885777072,Bug
2025-08-01,module1,Bob,13.620657272056178,142,78.40838482272,Bug
2025-08-01,module1,Charlie,10.201547946713411,130,71.93185569767634,Maintainability
2025-09-01,module1,Alice,6.80049263958769,149,60.113042873570556,Bug
2025-09-01,module1,Bob,9.554145820863887,90,74.83036199303972,Performance
2025-09-01,module1,Charlie,14.995052902232969,67,66.64754228658134,Bug
2025-10-01,module1,Alice,8.517663357930461,129,84.88026726558323,Maintainability
2025-10-01,module1,Bob,7.7311938646878335,69,78.97113190594503,Performance
2025-10-01,module1,Charlie,14.944894082616601,126,76.27559543962855,Maintainability
2025-11-01,module1,Alice,6.0160547372874476,88,61.33909835674715,Performance
2025-11-01,module1,Bob,5.299040731287718,148,86.68040264301277,Maintainability
2025-11-01,module1,Charlie,10.755088848964583,75,80.71026398581408,Maintainability
2025-12-01,module1,Alice,5.113975271546146,144,87.19913466343729,Bug
2025-12-01,module1,Bob,8.974134852314092,112,62.98865258547466,Maintainability
2025-12-01,module1,Charlie,11.13335925272801,119,67.48826512465862,Performance
